panel,analysis,route,budget,direction,threshold,participants,count,proportion,repeat,method,participant_macro_mae_seconds,gain_vs_video_mean_seconds,gain_vs_video_mean_ci95_low,gain_vs_video_mean_ci95_high,partition_sha256
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.17500000000000002,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.18,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.18,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.185,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.185,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.19,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.19,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.195,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.195,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.2,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.2,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.0,24,17,0.7083333333333334,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.0,24,7,0.2916666666666667,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.005,24,17,0.7083333333333334,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.005,24,6,0.25,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.01,24,14,0.5833333333333334,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.01,24,4,0.16666666666666666,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.015,24,14,0.5833333333333334,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.015,24,4,0.16666666666666666,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.02,24,13,0.5416666666666666,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.02,24,2,0.08333333333333333,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.025,24,12,0.5,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.025,24,2,0.08333333333333333,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.03,24,9,0.375,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.03,24,2,0.08333333333333333,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.035,24,9,0.375,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.035,24,2,0.08333333333333333,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.04,24,9,0.375,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.04,24,2,0.08333333333333333,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.045,24,8,0.3333333333333333,,,,,,,
